标题,价格,销量,店铺,地点,,,
Philips/飞利浦 E212A翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务手机男女备用学生按键老人机,￥268.00,5000+人付款,伟业恒通数码专营店,广东 深圳,,,
抽奖抢大额券vivo X27新品vivox27手机全新vovix27 x27vivo vivox27pro ×30 bbk vivo新nex27 vivox23限量版,"￥3,198.00",390人付款,vivo天诚专卖店,广东 东莞,,,
【立减400】OPPO R17 oppor17手机oppor19 新款oppor17pro oppo新品r17 r15梦境0oppor17超薄版r15x r11 a9,"￥1,999.00",784人付款,oppo欧曙专卖店,上海,,,
直降300+领券 vivo iQOO手机艾酷骁龙855 vivoiqoo限量版iq00骑士黑vivoiq新nex2官方旗舰店官网bbk iqoo手机,"￥2,798.00",357人付款,vivo盛大信和专卖店,北京,,,
【现货速发/分期付款+原装好礼】Huawei/华为 P30 Pro手机正品官方旗舰店20x降价mate20pro新款nova4e/p20pro,"￥5,488.00",478人付款,创汇通达数码旗舰店,北京,,,
咨询可优惠/6期免息/华为honor/荣耀 荣耀8X官方正品旗舰学生手机官网全面屏max系列6+64G128g新品11x降价20i,"￥1,299.00",1528人付款,蓝港数码专营店,广东 深圳,,,
【到手价低至3559元起】Apple/苹果 iPhone 8 移动联通双网通4G智能手机 苹果8手机iphone8 旗舰店,"￥3,559.00",326人付款,中国移动手机官方旗舰店,广东 广州,,,
现货Apple/苹果 iPhone XR 苹果xr iphonexr美版国行手机iphonex,"￥4,230.00",1329人付款,wxjking,广东 深圳,,,
【256GB到手价低至8549元起】Apple/苹果 iPhone XS Max 移动4G+版 苹果xsmax xr,"￥7,399.00",597人付款,中国移动手机官方旗舰店,广东 广州,,,
[活动降1200]OPPO R17新款oppor17 pro r11s 0ppor15梦境r15x opop手机oppofindx未来oppor19手机正品官网a9,"￥1,999.00",520人付款,智宏新创数码专营店,北京,,,
【活动降600】OPPO R17oppor17手机全新机正品新款oppor17手机全新限量oppo find xoppor15r11soppor19oppok1,"￥1,999.00",567人付款,oppo平实专卖店,广东 广州,,,
【6期免息】Huawei/华为 nova4e 手机官方旗舰店p30官网新品nova4/mate20pro/3i/p20/荣耀20正品手机降价了12,"￥1,799.00",1207人付款,京合旗舰店,安徽 合肥,,,
直降300起 vivo S1手机全面屏正品新限量版 vivos1 z3 x21 s1Pro bbk x30 x23幻彩版新款指纹官方旗舰店,"￥1,798.00",934人付款,vivo欧曙专卖店,上海,,,
【直降300+抢卷】vivo iQOO高通骁龙855游戏手机 vivoiqoo骑士黑 x21 x20 nex限量版 x23幻彩版 x30爱酷手机,"￥2,798.00",481人付款,vivo铁络专卖店,山东 济南,,,
新品honor/荣耀 荣耀V20官网降价全面屏华为手机现货Mate20荣耀20,"￥2,388.00",1464人付款,深圳一航,广东 深圳,,,
【抢券低至6998元】Apple/苹果 iPhone Xs Max 64G 全网通4G手机双卡双待苹果iPhonexsmax,"￥7,888.00",6000+人付款,苏宁易购官方旗舰店,江苏 南京,,,
【抢券低至6488元】Apple/苹果iPhone Xs 64G移动联通电信全网通4G手机 苹果iPhonexs,"￥7,288.00",1242人付款,苏宁易购官方旗舰店,江苏 南京,,,
【61开门红·领优惠券减200元 6期免息】Huawei/华为 Mate 20 Pro 曲面屏后置徕卡三镜头980芯片智能手机,"￥4,899.00",4835人付款,华为官方旗舰店,广东 深圳,,,
【61开门红·64G买赠华为耳机】Huawei/华为 畅享9 64G 128G全面屏千元高清珍珠屏长续航正品智能游戏手机,"￥1,199.00",2.0万+人付款,华为官方旗舰店,广东 深圳,,,
【6+64GG限时优惠300元】华为HONOR/荣耀10青春版V珍珠全面屏渐变色双卡双待全网通学生手机20官方旗舰店,"￥1,299.00",1.0万+人付款,荣耀官方旗舰店,广东 深圳,,,
【旗舰新品 保价618】华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰PRO手机,"￥2,699.00",1.0万+人付款,荣耀官方旗舰店,广东 深圳,,,
【8+256GB到手2299元】Xiaomi/小米 MIX 2S全面屏骁龙845双摄手机智能游戏米9mix3官方旗舰正品,"￥2,499.00",685人付款,小米官方旗舰店,北京,,,
【6月1日至高直降300】vivo S1升降摄像头零界全面屏全网通智能4G手机官方正品vivos1 s1 X27 iqoo x23 s,"￥1,798.00",4754人付款,vivo官方旗舰店,广东 东莞,,,
【6+64G下单低至1299】Xiaomi/小米 小米8 青春版全面屏智能拍照游戏手机学生商务9官方旗舰店正品note7,"￥1,499.00",7000+人付款,小米官方旗舰店,北京,,,
【6月1日至高省200】vivo U1水滴全面屏大电池拍照智能4G官方手机面部指纹双识别vivou1 y73 z1 Z3 iqoo u,￥749.00,1.5万+人付款,vivo官方旗舰店,广东 东莞,,,
3期免息/送多重壕礼Huawei/华为 P20 中移动手机正品官方旗舰店mate 10 pro保时捷 mate 20 X p30 p30 pro,"￥2,668.00",504人付款,中国移动官方旗舰店,浙江 杭州,,,
【3期免息】Huawei/华为 P20 Pro中移动手机正品官方旗舰店mate10 Pro mate 20 pro mate20 x p30 p30 pro,"￥2,668.00",771人付款,中国移动官方旗舰店,浙江 杭州,,,
【6月1日券后价949元起】Samsung/三星 Galaxy A6s SM-G6200 6GB+64GB 官方正品6GB运存后置双摄 4G智能手机,"￥1,199.00",599人付款,三星官方旗舰店,北京,,,
下单减200/2568元起当天发/Huawei/华为 P20手机 官方旗舰店正品官网P20p/nova4/3/p30pro免息/mate20pro降价,"￥2,668.00",410人付款,三际数码官方旗舰店,山东 济南,,,
6期免息+送冰箱/华为honor/荣耀 荣耀8X全面屏手机官方旗舰店学生v10降价11x畅享官网10青春三际20i新品20pro,"￥1,299.00",2786人付款,三际数码官方旗舰店,山东 济南,,,
当天发/6期免息/20重礼Huawei/华为 P30手机官方旗舰店正品 华为p30pro直降价/华为mate20pro/p20pro/nova4e,"￥3,988.00",1135人付款,能良数码官方旗舰店,上海,,,
Samsung/三星 GALAXY Note9 SM-N9600 6G+128GB/8G+512GB 官方正品 Spen遥控拍摄 4G智能手机,"￥4,999.00",115人付款,三星官方旗舰店,北京,,,
【6期免息+送冰箱】华为honor/荣耀 荣耀8X全面屏正品手机8xmax官方旗舰店20i新品x8降价10现货v10畅享9plus,"￥1,299.00",1603人付款,能良数码官方旗舰店,上海,,,
【6.1限时优惠400元 1599起】OPPO R15x 全网通屏幕指纹手机全面屏美颜旗舰正品4Goppor15x冰萃银 6+128GB,"￥1,699.00",1143人付款,oppo官方旗舰店,广东 东莞,,,
【6.1领券减200 低至2499元】OPPO R17 Pro全面屏拍照手机6G+128G美颜夜拍超级闪充智能4G正品oppor17pro,"￥2,699.00",204人付款,oppo官方旗舰店,广东 东莞,,,
【抢券低至4729元】iphonexr Apple/苹果 iPhone XR 4G全网通手机官方全新正品国行苹果XR iPhonexr/x/xs/max,"￥5,029.00",165人付款,广东电信亿品汇专卖店,广东 深圳,,,
低至1383元起+3期免息/送手环】华为honor/荣耀 荣耀play游戏手机paly官方v10/8x麒麟970/plαy/piay/plya,"￥1,388.00",817人付款,广东电信亿品汇专卖店,广东 深圳,,,
Apple/苹果 iPhone XR 国行港版苹果 iphonexr手机XR美版有锁XS,"￥3,399.00",1135人付款,小唐1688,上海,,,
到手价1048起 vivo Z3手机限量全新正品vivoz3 z3x u1 y73 93 x23 vivoz3i z1青春版官方旗舰店 z3vivo z bbk,"￥1,148.00",1458人付款,vivo欧曙专卖店,上海,,,
免息降500华为p30pro送无线充HUAWEI HUAWEI P30 PRO官方正品手机,"￥3,508.00",2537人付款,深港通信专卖,广东 深圳,,,
当天发/优惠1150元/6期免息Huawei/华为 Nova 4 手机官方旗舰店正品nova4e官网降价p30pro新款mate20 p20直降,"￥2,499.00",347人付款,同步飞扬数码专营店,广东 深圳,,,
免息直降510华为p30pro送无线充HUAWEI HUAWEI P30 PRO价官方手机,"￥3,508.00",1884人付款,赛西湖,浙江 杭州,,,
当天发【8+128GB3199起送原装手柄套装】小米黑鲨游戏手机2 电竞专用256G官方正品黑鲨2代12G3代骁龙855红魔,"￥2,899.00",218人付款,君问数码官方旗舰店,浙江 杭州,,,
Xiaomi/小米 小米9透明九se故宫版10尊享探索plus新手机骁龙855,"￥2,699.00",3813人付款,heatlinda,广东 深圳,,,
立减200元仅998起 vivo Z3x 全新官方旗舰店正品 vivoz3限量版vivoz3x手机vivox21 z4 vivox23 vivoz3x z,￥998.00,1877人付款,同步飞扬数码专营店,广东 深圳,,,
顺丰速发【新品】Huawei/华为 畅享9珍珠屏华为官网官方旗舰店nova4i青春版MAXplus/mate20pro超长待机手机,￥849.00,3341人付款,小淘器数码专营店,安徽 合肥,,,
【到手价低至6999元起】Apple/苹果 iPhone XS 移动联通双网通4G智能手机 iPhonexs 苹果xs,"￥6,999.00",151人付款,中国移动手机官方旗舰店,广东 广州,,,
6月1日 6+64仅849起】Nokia/诺基亚 X6 全面屏6x新品现货x7plus 8s智能手机官方旗舰店x5正品全新,￥849.00,609人付款,京联通达数码旗舰店,北京,,,
咨询领券 vivo X27手机全面屏指纹限量版全新机 vivox27pro x27plus x23幻彩版X30x21 nexvivo官方旗舰店官网,"￥3,198.00",553人付款,vivo衡视专卖店,上海,,,
抽大额券 vivo X27手机全新品 vivox27 限量版 vivox27pro x23 x21 nex x9s ×30 vovi手机官方旗舰店官网bbk,"￥3,198.00",419人付款,vivo航鹰专卖店,浙江 杭州,,,
当天发/咨询可省400元 12期分期Huawei/华为 Mate 20 Pro 华为官方旗舰店官网正品智能4G手机mate20 X p30PRO,"￥4,899.00",139人付款,久汇数码专营店,广东 深圳,,,
抽大额优惠券 vivox27手机全新正品官方旗舰店 vivox23 s1 x27Pro x21 x30 bbk x27plus 幻彩版 x27vivo手机,"￥3,198.00",497人付款,vivo欧曙专卖店,上海,,,
送558礼 vivo U1智能手机 vivou1水滴全面屏新品拍照手机官方旗舰店官网 vivoz3 z1 y73 z4 y97 y93s x23,￥749.00,3283人付款,vivo衡视专卖店,上海,,,
荣耀20【现货当天发】华为honor/荣耀 荣耀20pro旗舰手机v20i新品,"￥2,699.00",361人付款,詹福来1987,广东 深圳,,,
至高可省320元 vivo S1手机 vivos1手机官方旗舰店vivo x23 x21 vivo z3 z1 u1 vivo iQOO X9 升降前摄vivos1,"￥1,798.00",486人付款,茂鹏数码专营店,广东 深圳,,,
官网OnePlus/一加7pro手机官方旗舰6一加手机7t全新品1+7T骁龙855,"￥2,999.00",1832人付款,白开水的点燃方式,河南 郑州,,,
Apple/苹果 iPhone XR 苹果xr iphonexr xs max 双卡4G美版手机8X,"￥3,549.00",1368人付款,中华淘购网店,广东 深圳,,,
Philips/飞利浦 E188A真三防户外手机老人手机军工品质超强防水超长待机大字大声大屏老年机持久续航防摔防尘,￥379.00,1808人付款,伟业恒通数码专营店,广东 深圳,,,
至高降300+领券减300 vivo iQOO全新正品游戏手机855全网通艾酷爱酷手机 vivoiqoo s1 x27 pro vivo手机 iQOO,"￥2,798.00",176人付款,vivo曼尼金专卖店,江苏 南京,,,
Apple/苹果 iPhone X 国行美版iphonex苹果X 三网通手机 分期免息,"￥4,420.00",920人付款,洛克蓝,广东 深圳,,,
Apple/苹果 iPhone X 苹果X iphonex 苹果x 国行 美版X 4G手机,"￥4,900.00",1565人付款,吴继勇2013,广东 深圳,,,
【6G版仅需1799元 分期免息】OPPO R17 oppor17手机oppor19新款手机oppor17pro超薄款r15x梦境版findx限量,"￥1,999.00",578人付款,oppo酷炫专卖店,浙江 杭州,,,
新品【当天发+直降100】Huawei/华为 畅享9华为官方旗舰店官网正品畅想9plus手机nova3荣耀8x新款mate20免息4,￥899.00,1924人付款,蓝港数码专营店,广东 深圳,,,
Xiaomi/小米 小米9新手机九se透明版尊享探索plus故宫版10骁龙855,"￥2,699.00",1994人付款,龙通店,广东 深圳,,,
分期免息2598元起 Huawei/华为 P20 Pro 全面屏全网通4G智能手机华为官方旗舰店p20正品mate20pro p30 X,"￥2,598.00",171人付款,久汇数码专营店,广东 深圳,,,
【6期免息到手1778】vivo S1 新品 vivos1手机 升降摄像头vivox23官网正品vivox21 x23 幻彩版 vovis1pro x30,"￥1,798.00",462人付款,博盛景数码专营店,广东 深圳,,,
魅族16【免息 直降1320】 Meizu/魅族 16th Plus手机魅族16th 16X,"￥1,998.00",956人付款,白开水的点燃方式,河南 郑州,,,
分期购Apple/苹果 iPhone XR苹果xr iphonexr xs max双卡4G手机8p,"￥3,200.00",112人付款,tb8096781_2011,浙江 杭州,,,
【6.1-6.2 限时6期免息】Huawei/华为P30麒麟980芯片4000万徕卡三摄超感光录像全面屏时尚手机p30,"￥3,988.00",3695人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1-6.2 低至1799 享6期免息】OPPO R17全面屏拍照手机AI智能屏幕指纹官方旗舰店正品oppor17 x23,"￥1,999.00",4410人付款,苏宁易购官方旗舰店,江苏 南京,,,
【61开门红·领券减50 买赠华为耳机】Huawei/华为畅享9S华为新品手机2400万三摄超大广角夜拍超级夜景,"￥1,499.00",7500+人付款,华为官方旗舰店,广东 深圳,,,
【61开门红·购机直降200】Huawei/华为 畅享9 32G全面屏千元高清珍珠屏长续航学生正品智能游戏手机,￥799.00,9500+人付款,华为官方旗舰店,广东 深圳,,,
【限时优惠1100】华为HONOR/荣耀 Magic2滑盖全面屏官网正品超级快充麒麟980官方旗舰店新降价改色手机V20i8x,"￥2,699.00",880人付款,荣耀官方旗舰店,广东 深圳,,,
【优惠高达900元】荣耀NOTE10 华为HONOR/荣耀 官方旗舰店官网大屏幕液冷散热正品吃鸡新款游戏手机Play,"￥1,999.00",3644人付款,荣耀官方旗舰店,广东 深圳,,,
【6月1日券后2299】Xiaomi/小米 小米8屏幕指纹版米9全面屏拍照游戏手机8SE学生机9se小米官旗青春版Note7P,"￥2,499.00",1594人付款,小米官方旗舰店,北京,,,
【12期免息赠智能手环】vivo X27Pro4800万广角夜景三摄8+256G运存正品智能4G手机新品vivoX27 x27pro x27,"￥3,998.00",1464人付款,vivo官方旗舰店,广东 东莞,,,
【6+128G赠无线充电宝】Xiaomi/小米小米9 骁龙855全面屏索尼4800万三摄指纹拍照游戏手机官旗王源旗舰,"￥2,999.00",1376人付款,小米官方旗舰店,北京,,,
【抢券省250赠礼】vivo Z5x极点全面屏超广角三摄高通骁龙710处理器智能手机官方正品新品vivoz5x z5 z3,"￥1,398.00",1.5万+人付款,vivo官方旗舰店,广东 东莞,,,
【到手价7199起！最高可用400元天猫券】苹果xsmax中移动 Apple/苹果 iPhone XS Max全网通版手机正品xs苹果,"￥7,599.00",49人付款,中国移动官方旗舰店,浙江 杭州,,,
【12期免息0首付/顺丰发】Huawei/华为 Mate 20 Pro中移动手机正品官方旗舰店X p20 Pro 10保时捷版p30 Pro 9,"￥4,899.00",323人付款,中国移动官方旗舰店,浙江 杭州,,,
[1799元起] OPPO R17手机 oppor17 新上市oppor19 oppor17pro oppo新品r17 r15 梦境 r15x r11s a7x r9s plus,"￥1,999.00",510人付款,能良数码官方旗舰店,上海,,,
当天发+送手环/华为honor/荣耀 荣耀20i手机官方旗舰店新品降价10青春8x畅享11x学生10i上市官网9i特别版V20,"￥1,599.00",1640人付款,三际数码官方旗舰店,山东 济南,,,
可省800元 vivo Z3手机 新品vivoz3限量版 vivox27 vivoz3 手机vivox21 z1 vivoz3i vivoz4 x9 vivox23手机,"￥1,148.00",3118人付款,三际数码官方旗舰店,山东 济南,,,
【限时最高优惠200元】OPPO A5 全面屏AI双摄美颜拍照长续航正品学生老人智能全网通4G手机oppoa5,￥799.00,4531人付款,oppo官方旗舰店,广东 东莞,,,
全新 vivo S1pro手机 vivos1pro 新品限量幻彩版 vivos1 vivox23 x21 vovi s1 vivox27 y93 y97 x30手机x9 z3,"￥2,498.00",376人付款,能良数码官方旗舰店,上海,,,
Samsung/三星 Galaxy S9+ SM-G9650/DS 官方正品 骁龙845 IP68防尘防水 4G手机,"￥4,299.00",112人付款,三星官方旗舰店,北京,,,
【新品上市】Samsung/三星Galaxy A60 SM-A6060 4G智能手机骁龙675 6G+128G 后置三摄,"￥1,999.00",796人付款,三星官方旗舰店,北京,,,
【6.1起直降1000元】OPPO Find X标准版超级闪充曲面全面屏拍照全网通手机官方旗舰正品oppo findx,"￥3,999.00",137人付款,oppo官方旗舰店,广东 东莞,,,
当天发/立减350元/免息送礼Huawei/华为 P20 Pro手机官方旗舰店直降mate20x官网p30 pro降价nova4e P30 PRO,"￥2,668.00",313人付款,同步飞扬数码专营店,广东 深圳,,,
【抢券低至7159元】 iPhonexsmax Apple/苹果 iPhone XS Max 全网通手机官方官网旗舰全新国行x/xr,"￥7,559.00",194人付款,广东电信亿品汇专卖店,广东 深圳,,,
【分期免息+现货当天发】华为honor/荣耀 荣耀V20全网通手机官方旗舰店麒麟980新品20pro降价v10新荣耀magic3,"￥2,599.00",210人付款,广东电信亿品汇专卖店,广东 深圳,,,
128G版本咨询可领优惠券/顺丰包邮/华为 畅享9 PLUS 大电池官方旗舰店128G全网通大屏6G手机降价畅想荣耀,"￥1,399.00",892人付款,易橙数码专营店,辽宁 大连,,,
一加7Pro手机官方旗舰官网1+7T OnePlus/一加7pro 七 6t一加7手机,"￥4,299.00",925人付款,悦动数码店,广东 深圳,,,
【优惠600元】Nokia/诺基亚 X6 4+64GB 智能全面屏手机长待机 4G全网通双卡双待 旗舰店官方正品,￥899.00,1204人付款,诺基亚手机官方旗舰店,上海,,,
【限时6期免息/送华为手环等好礼】Huawei/华为 P30 Pro 移动4G+手机 官方旗舰店 P30Pro 华为P30,"￥5,488.00",234人付款,中国移动手机官方旗舰店,广东 广州,,,
现货港行Samsung/三星 GALAXY S9+plus港版全网通4G曲屏智能手机,"￥2,086.92",705人付款,5小小咖啡馆,上海,,,
【6期免息 新款上市】OPPO Reno opporeno手机全新0pp0r17pro r19 r15 r11 a9 findx未来renoz10倍变焦版0ppo,"￥2,999.00",623人付款,oppo欧曙专卖店,上海,,,
【领天猫劵减400送手机壳膜 6月1到手6599元起】Apple/苹果 iPhone XS 全网通版智能4G手机64/256G官方旗舰店,"￥6,999.00",104人付款,翼天下天翼电信旗舰店,江苏 南京,,,
【6.1-6.2领劵减200六期免息】Huawei/华为 Mate 20全面屏智能手机官方旗舰店正品全网通p20pro降价了新款P30,"￥3,499.00",369人付款,京合旗舰店,安徽 合肥,,,
